0	Seton Hall	The night following their departure the Hall of Youth burned to the ground. #SetonHall
14	Cassius Winston	fleet sailing with Lucius Cassius in command, but so far from suffering any harm at their hands he terrified them and won them to his side. #CassiusWinston
15	Cassius Winston	If Marcus Brutus and Gaius Cassius had stopped to think this over they would never have killed the city's head and protector
15	Cassius Winston	nor have made themselves the cause of countless ills both to their own persons and to all the rest of mankind then existing. #CassiusWinston
16	Cassius Winston	Once on a single day they had passed in his honor an unusually large number of decrees of especially important character, that
16	Cassius Winston	had been voted unanimously by all the rest except Cassius and a few others, who became notorious for this action yet they suffered no harm, a fact which conspicuously displayed their ruler's clemency. #CassiusWinston
17	Cassius Winston	So they came to terms on the conditions that had been voted, but those on the Capitol would not come down till they had
17	Cassius Winston	secured the son of Lepidus and the son of Antony to treat as hostages; then Brutus descended to Lepidus, to whom he was related, and Cassius to Antony, being assured of safety. #CassiusWinston
18	Cassius Winston	While dining together they naturally, at such a juncture, discussed a variety of topics and Antony asked Cassius "Have you
18	Cassius Winston	perhaps got some kind of dagger under your arm even now?" To which he answered "Yes, and a big one, if you too should desire to play the tyrant. #CassiusWinston
19	Cassius Winston	And do not choose to neglect the seriousness of the present situation and then ask again for another Cassius or some more Brutuses. #CassiusWinston
20	Cassius Winston	In fine, he said that he would abandon Gaul and disband his legions, if they would grant these soldiers the same rewards as they had voted to Caesar's and would elect Cassius and Marcus Brutus consuls. #CassiusWinston
21	Cassius Winston	That it was a mere pretext for getting control of Gaul he himself made plain in demanding that Cassius and Marcus Brutus be appointed consuls. #CassiusWinston
22	Cassius Winston	To Sextus Pompey they entrusted the fleet, to Marcus Brutus Macedonia, and to Cassius Syria together with the war against Dolabella. #CassiusWinston
23	Cassius Winston	Furthermore they changed their clothing again, they had resumed citizen's apparel in honor of Caesar's consulship, and summoned Marcus Brutus and Cassius and Sextus to proceed against them. #CassiusWinston
24	Cassius Winston	This was not because he had formed a compact with Antony and through him with Lepidus, little he cared for that fact, but
24	Cassius Winston	because he saw they were powerful and knew their purposes were linked by the bands of kinship, and he could not use force with
24	Cassius Winston	them; and besides he cherished hopes of bringing about through them the downfall of Cassius and Brutus, who were already very influential, and subsequently of wearing them out one against the other. #CassiusWinston
25	Cassius Winston	DIO'S ROMAN HISTORY  The following is contained in the Fortyseventh of Dio's Rome How Caesar, Antony, and Lepidus came to Rome
25	Cassius Winston	and instituted a reign of slaughter chapters About Brutus and Cassius and what they did before the battle of Philippi chapters
25	Cassius Winston	How Brutus and Cassius were defeated by Caesar and perished chapters Duration of time, the remainder of the consulship of
25	Cassius Winston	Gaius Vibius Pansa and Aulus Hirtius, together with one additional year, in which there were the following magistrates here enumerated M. Aemilius M.F. Lepidus cos. #CassiusWinston
26	Cassius Winston	They had a refuge, of course, with Brutus and Cassius and Sextus, and the majority directed their flight toward the last mentioned. #CassiusWinston
27	Cassius Winston	Brutus and Cassius had at first, after the compact made by them with Antony and the rest, gone into the Forum and discharged the activities of praetorship with the same diligence as before. #CassiusWinston
28	Cassius Winston	Cassius proceeded to the Syrian country, because its inhabitants were acquainted with him and friendly as a result of his campaign with Crassus, while Brutus united Greece and Macedonia. #CassiusWinston
29	Cassius Winston	The reason was that his mother Polla learned of the plot in advance, and being very fearful lest Cassius should be overtaken
29	Cassius Winston	by his fate for she was very fond of him and lest her son should be detected, voluntarily informed Cassius of the plot herself beforehand, and received the preservation of her son as a reward. #CassiusWinston
30	Cassius Winston	Brutus besides doing this had stamped upon the coins which were being minted his own likeness and a helmet and two daggers, indicating by this and by the inscription that in company with Cassius he had liberated his country. #CassiusWinston
31	Cassius Winston	At that same period Cassius had crossed over to Trebonius in Asia ahead of Dolabella, and after securing money from him and a
31	Cassius Winston	number of the cavalry whom Dolabella had sent before him into Syria attached to his cause many others of the Asiatics and Cilicians. #CassiusWinston
32	Cassius Winston	This done, Cassius went to Syria, and without striking a blow assumed entire direction of the nations and the legions. #CassiusWinston
33	Cassius Winston	Things were in this condition among them when Cassius came on the scene and at once conciliated all the cities through the
33	Cassius Winston	reputation of what he had done in his quaestorship and his other fame, and attached the legions of Bassus and of the rest without additional labor. #CassiusWinston
34	Cassius Winston	Thus did Cassius in brief time become strong and he sent a despatch to Caesar about reconciliation and to the senate about the situation, couched in similar language to that of Brutus. #CassiusWinston
35	Cassius Winston	And they instructed the consuls to carry on opposition to him and the entire war as soon as they should have brought their temporary business to a successful conclusion not knowing yet that Cassius held Syria. #CassiusWinston
36	Cassius Winston	Dolabella, accordingly, after becoming in this way master of Asia came into Cilicia while Cassius was in Palestine, took over
36	Cassius Winston	the people of Tarsus with their consent, conquered a few of Cassius's guards who were at Aegeae, and invaded Syria. #CassiusWinston
37	Cassius Winston	He had escaped from this when he encountered Cassius marching toward him, and gave battle, which resulted in his own defeat. #CassiusWinston
38	Cassius Winston	He was then shut up and besieged in Laodicea, where he was entirely cut off from the land, to be sure Cassius being assisted
38	Cassius Winston	by some Parthians among others, but retained some power through the Asiatic ships and the Egyptian ones which Cleopatra had sent him, and furthermore by means of the money which came to him from her. #CassiusWinston
39	Cassius Winston	He constructed a kind of fort over against them and set out for Syria, believing it to be of more importance to aid Cassius than himself to destroy their city. #CassiusWinston
40	Cassius Winston	Cassius when he had settled matters in Syria and in Cilicia came to meet Brutus in Asia. #CassiusWinston
41	Cassius Winston	These were therefore suspected by Brutus and Cassius of favoring their antagonists, since they had been well treated by the
41	Cassius Winston	former Caesar, and fear was entertained by the two leaders lest when they themselves departed this group should cause some turmoil and lead the rest to revolt. #CassiusWinston
42	Cassius Winston	The Rhodians, who had so great an opinion of their seamanship that they anticipated Cassius by sailing to the mainland and
42	Cassius Winston	displayed to his army the fetters they were bringing with the idea that they were going to capture many alive, were yet conquered by him, first in a naval battle near Myndus and later close to Rhodes itself. #CassiusWinston
43	Cassius Winston	Thereupon Cassius himself crossed over to their island, where he met with no resistance, possessing, as he did, their goodwill because of the stay he had made there in the interests of his education. #CassiusWinston
44	Cassius Winston	Saxa and Norbanus happened to have occupied the shortest path across, therefore Brutus and Cassius did not even try to get through that way, but went around by a longer path, the socalled Crenides. #CassiusWinston
45	Cassius Winston	These leaders on learning that Cassius and Brutus were for some time busy with the Rhodians and the Lycians had thought that
45	Cassius Winston	their adversaries would have more fighting on their hands there, and so instead of hastening had sent Saxa and Norbanus forward into Macedonia. #CassiusWinston
46	Cassius Winston	When it seemed to them to be impossible to dislodge him, and the case of Cassius and Brutus appeared to be more urgent, they
46	Cassius Winston	left a small part of their army to garrison Italy and with the major portion safely crossed the Ionian sea. #CassiusWinston
47	Cassius Winston	Caesar heard of it and feared either possible outcome, that his colleague should be defeated in a separate attack or again
47	Cassius Winston	that he should conquer in the former event he felt that Brutus and Cassius would attain power, and in the latter that Antony would have it all himself; therefore he made haste though still unwell. #CassiusWinston
48	Cassius Winston	Cassius and Brutus had no particular aversion to a battle, they had the advantage in the number of soldiers, though the latter
48	Cassius Winston	were deficient in strength, but some reflection on their own condition and that of their opponents showed them that allies
48	Cassius Winston	were being added to their own numbers every day and that they had abundant food by the help of the ships; consequently they put off action in the hope of gaining their ends without danger and loss of men. #CassiusWinston
49	Cassius Winston	And if all had contested with all, as may happen under such circumstances, or if Brutus had been arrayed against Antony and Cassius against Caesar, they would have proved equally matched. #CassiusWinston
50	Cassius Winston	Brutus immediately sent the body of Cassius secretly to Thasos. #CassiusWinston
51	Cassius Winston	So he fared as long as the resistance of Cassius and Brutus held out. #CassiusWinston
52	Cassius Winston	When the battle with Brutus and Cassius had been fought, Caesar and Antony redistributed the world, Caesar taking Numidia for his share of Libya, and Antony Africa. #CassiusWinston
53	Cassius Winston	He was by chance an ally of Brutus and Cassius and had been sent to Orodes before the battle to secure some help he was
53	Cassius Winston	detained by him a long time over three lines starting at line beginning "constant ill treatment" and his presence ignored, because the king hesitated to conclude the alliance with him yet feared to refuse. #CassiusWinston
54	Cassius Winston	And it was chiefly for this reason that Caesar had schooled himself to receive under a general amnesty all those who had gone
54	Cassius Winston	over to the enemy in the war with Lucius, Antony's brother, some among them, Domitius particularly, who had been of the
54	Cassius Winston	assassins, as well as all those whose names had been posted on the tablets or had in any way coöperated with Brutus and Cassius and later embraced the cause of Antony. #CassiusWinston
55	Cassius Winston	Soon after, seeing that the largest and best portion both of the people and of the senate was in accord with him, but that
55	Cassius Winston	Lepidus and Antony, Sextus, Brutus, and Cassius were employing rebels, he feared that the city might become involved in many
55	Cassius Winston	wars, civil wars, at once, and be so torn asunder and exhausted as not to be able to revive in any fashion; and so he manipulated them very cleverly and to the greatest public good. #CassiusWinston
56	Cassius Winston	The ground of censure was that he had praised Cassius and Brutus and had attacked the people and the senate. #CassiusWinston
57	Cassius Winston	M. Vinicius Quartinus, L. Cassius Longinus. #CassiusWinston
58	Cassius Winston	Now when Tiberius without discussion sent Drusus to Rome, Sejanus, fearing that his position might be injured, persuaded Cassius  to busy himself against him. #CassiusWinston
59	Cassius Winston	The consul of  , either C. Cassius Longinus or his brother L. Cassius Longinus. #CassiusWinston
60	Cassius Winston	As he continued to show insanity in every way, a plot was formed against him by Cassius Chairea and Cornelius Sabinus, though they were holding tribuneships in his pretorian guard. #CassiusWinston
61	Cassius Winston	The former, supposing that it had reference to Gaius Cassius, governor of Asia at the time, because he was a descendant of that Cassius who had slain Cæsar, had him brought as a prisoner. #CassiusWinston
62	Cassius Winston	The person whose future conduct the divinity was really indicating to the emperor, however, was this Cassius Chairea. #CassiusWinston
63	Cassius Winston	The victim had had two associates, Cassius Asclepiodotus of Nicaea and this Publius of Berytus. #CassiusWinston
64	Cassius Winston	was brought to trial and slain for living near the Forum, for letting out some shops, or for receiving a few friends in them; and another  C. Cassius Longinus ibid. #CassiusWinston
65	Cassius Winston	Cassius Dio Cocceianus in writings concerning the Latins has written that this city i. #CassiusWinston
66	Cassius Winston	DIO'S ROMAN HISTORYThe emperor Marcus takes Verus as an associate he gives him charge of the Parthian war chapters ,  Wars
66	Cassius Winston	with the Iazyges, Marcomani, and Germans chapters  and  About the war in Egypt with the Bucoli chapter  Marcus's tirelessness
66	Cassius Winston	in hearing cases at law chapter  The Iazyges conquered chapter  The Quadi are vanquished by rain sent from Heaven in answer to
66	Cassius Winston	Roman prayers chapters  and  About the Thunderbolt Legion from Melitene chapter  How envoys came to the emperor from a number
66	Cassius Winston	of barbarians, the Quadi, Astingi, Iazyges, Marcomani, Naristi chapters  Revolt of Cassius and of Syria chapters  How Cassius
66	Cassius Winston	was killed, together with his son chapter  Kindness of Marcus toward the adherents of Cassius death of Faustina and honors
66	Cassius Winston	accorded her chapters  The return of Marcus and his generosity chapter  With his son Commodus he subjugates the Scythians he himself meets death chapter  Eulogy of Marcus chapters ,DURATION OF TIME.  M. Ael. #CassiusWinston
67	Cassius Winston	The latter made a noble stand against the attackof Vologaesus, and finally the chieftain was deserted by his allies and began
67	Cassius Winston	to retire; then Cassius pursued him as far as Seleucia and destroyed it and razed to the ground the palace of Vologaesus at Ctesiphon. #CassiusWinston
68	Cassius Winston	As many weapons were hurled at the men engaged in bridging, Cassius ordered weapons and catapults to be discharged. #CassiusWinston
69	Cassius Winston	Next, having conquered the Romans in Egypt in regular battle they came very near capturing Alexandria, and would have done so, had not Cassius been sent against them from Syria as directing general. #CassiusWinston
70	Cassius Winston	The revolt of Cassius and Syria forced Marcus Antoninus, even contrary to his wishes, to come to terms with the Iazyges. #CassiusWinston
71	Cassius Winston	Upon the rebellion of Cassius in Syria, Marcus, in great alarm, summoned his son Commodus from Rome, since he was now able to enter the ranks of the iuvenes. #CassiusWinston
72	Cassius Winston	So she secretly induced Cassius to make preparations to the end that if anything should happen to Antoninus he might take both her and the sovereignty. #CassiusWinston
73	Cassius Winston	Is it not afflicting for us to meet war after war? Is it not absurd to be involved in civil conflict? Are not both these
73	Cassius Winston	conditions surpassed in affliction and in absurdity by the proof before us that there is naught to be trusted among mankind,
73	Cassius Winston	since I have been plotted against by my dearest friend and have been thrust into a conflict against my will, though I have
73	Cassius Winston	committed no crime nor even error? What virtue, what friendship shall henceforth be deemed secure after this experience of
73	Cassius Winston	mine? Has not faith, has not hope perished? If the danger were mine alone, I should give the matter no heed, I was not born to
73	Cassius Winston	be immortal, but since there has been a public secession or rather obsession and war is fastening its clutches upon all of us
73	Cassius Winston	alike, I should desire, were it possible, to invite Cassius here and argue the case with him in your presence or in the
73	Cassius Winston	presence of the senate; and I would gladly, without a contest, withdraw from my office in his favor, if this seemed to be for the public advantage. #CassiusWinston
74	Cassius Winston	But since Cassius would never be willing to agree to this for how could he trust me after having shown himself so untrustworthy towards me?, you, at least, fellowsoldiers, ought to be of good cheer. #CassiusWinston
75	Cassius Winston	Nor yet would Cassius himself now appear worthy of any particular consideration, however much he may seem to possess the qualities of generalship, however many successes he may seem to have gained. #CassiusWinston
76	Cassius Winston	Nor, indeed, did Cassius ever utter or write anything of a nature insulting to Marcus. #CassiusWinston
77	Cassius Winston	Marcus at the time he was preparing for the war against Cassius would accept no barbarian alliance although he found a
77	Cassius Winston	concourse of foreign nations offering their services; for he said that the barbarians ought not to know about troubles arising between Romans. #CassiusWinston
78	Cassius Winston	Marcus Antoninus was so much grieved at the destruction of Cassius that he would not even endure to see the severed head, but before the murderers drew near gave orders that it should be buried. #CassiusWinston
79	Cassius Winston	Of the rest he brought to justice a very few, who had not only cooperated with Cassius to the extent of some overt action but were personally guilty of some crime. #CassiusWinston
80	Cassius Winston	Another account is that Verus, who was sent ahead into Syria, of which he had secured the governorship, found them among the
80	Cassius Winston	effects of Cassius and put them out of the way, saying that this course would most probably be agreeable to the emperor, but
80	Cassius Winston	even if he should be angry, it would be better that he Verus himself should perish than many others. #CassiusWinston
81	Cassius Winston	In his great grief over the death of Faustina he wrote to the senate that no one of those who had cooperated with Cassius was dead, as if in this fact alone he could find some consolation for Faustina's loss. #CassiusWinston
82	Cassius Winston	Wherefore I actually believe that if he had captured Cassius himself alive, he would certainly have saved him from injury. #CassiusWinston
83	Cassius Winston	A law was at this time passed that no one should be governor in the province from which he had originally come, because the
83	Cassius Winston	revolt of Cassius had occurred during his administration of Syria, which included his native district. #CassiusWinston
84	Cassius Winston	Cassius Clemens, a senator, while on trial before Severus himself, did not hide the truth but spoke with such frankness as the
84	Cassius Winston	following report will show  "I," he said, "was acquainted with neither you nor Niger, but as I found myself in his part of the
84	Cassius Winston	world, I accepted the situation heartily, not with the idea of being hostile to you but with the purpose of deposing Julianus. #CassiusWinston
85	Cassius Winston	III, Cassius Dio II. Eighth of Alexander. #CassiusWinston
86	Cassius Winston	This wand Plutarch terms lituos, but lituoi is what Cocceianus Cassius Dio says. #CassiusWinston
87	Cassius Winston	XVIII Cassius after benefiting the Romans was put to death by that very people. #CassiusWinston
88	Cassius Winston	XXVIII Dio Cassius Cocceianus, the compiler of Roman history, states that as a result of the wrath of Heaven a fissure opened in the ground round about Rome and would not close. #CassiusWinston
89	Cassius Winston	The second part of the augury is transmitted to us by Dio Cassius Cocceianus, who says that they keep tame birds which eat barley, and put barley grains in front of them when they seek an omen. #CassiusWinston
90	Winter Storm Watch	VIII, Winter came on and Manlius sailed back to Rome with the booty, whereas Regulus remained behind in Libya. #WinterStormWatch
91	Mark Lawrenson	Even as it was they waited a long time, not wishing to read it, but at last they were compelled by Quintus Cassius Longinus and Mark Antony, the tribunes, to make it public. #MarkLawrenson
92	Mark Lawrenson	While he was delaying here a plot was formed against him by Gellius Poplicola, and Mark Antony sent some men to attempt to rescue his brother. #MarkLawrenson
93	Mark Lawrenson	As soon as Brutus learned of the attempt of Mark Antony and of the killing of his brother, he feared that some other insurrection might take place in Macedonia during his absence, and immediately hastened to Europe. #MarkLawrenson
94	Mark Lawrenson	But his opponents in the first place made many counterpropositions, demands with which Caesar was sure not to comply, and again, in respect to everything that they did said they were doing it by the orders of Mark Antony. #MarkLawrenson
95	Mark Lawrenson	About this same period that the above was taking place, and after the battle the scene of which was laid at Philippi, Mark
95	Mark Lawrenson	Antony came to the mainland of Asia and there by visiting some points himself and sending deputies elsewhere he levied contributions upon the cities and sold the positions of authority. #MarkLawrenson
96	Me Before You	Before long he ascertained that Octavius was approaching at the head of his fleet and that Paulus was in Amphipolis; so he sent him a letter requesting permission to confer about terms. #MeBeforeYou
97	Me Before You	Before he became victor he was accustomed to make requests of them and use their assistance to the fullest extent. #MeBeforeYou
98	Me Before You	Before leaving he ascended the Capitol and dedicated a little image of Minerva, whom he styled "protectress. #MeBeforeYou
99	Me Before You	Before long by means of his large force and the experience which he had gained from the campaign that he made with the Romans,
99	Me Before You	together with some detailed information that he obtained from the captives, he managed to enclose him with a palisade and ditch. #MeBeforeYou
100	Me Before You	Before this happened Vercingetorix, filled with contempt for Caesar because of his reverses, had marched against the Allobroges. #MeBeforeYou
101	Me Before You	Before any terms were made he was wounded by one of the Romans who surmised that it was not his real intention to make peace, but he escaped and again proved troublesome to them. #MeBeforeYou
102	Me Before You	Before this Curio with the idea that his enemy was approaching had transferred his men to the camp near the sea and had framed an intention, in case he were hard pushed, of embarking on the ships and leaving Africa altogether. #MeBeforeYou
103	Me Before You	Before he came to the light of day she saw in a dream her womb lifted to the heavens and spreading out over all the earth; and the same night Octavius thought the sun rose from her vagina. #MeBeforeYou
104	Me Before You	Before it was taken away Fulvia took it in her hands and after abusing it spitefully and spitting upon it, set it on her
104	Me Before You	knees, opened the mouth, and pulled out the tongue, which she pierced with the brooches that she used for her hair, at the same time uttering many brutal jests. #MeBeforeYou
105	Me Before You	Before he departed they presented to each other their mutual grievances, at first through friends and then personally. #MeBeforeYou
106	Me Before You	Before quite all this had occurred Antony learned that Cornelius Gallus had taken charge of Scarpus's army and with the men had suddenly marched upon Paxaetonium and occupied it. #MeBeforeYou
107	Me Before You	Before they have been prætors I do not think they should have this privilege. #MeBeforeYou
108	Me Before You	Before starting he dedicated the temple of Quirinus, which he had built up anew. #MeBeforeYou
109	Me Before You	Before two months had elapsed he banished both of them on the ground that they had carnal knowledge of each other. #MeBeforeYou
110	Me Before You	Before long many others were condemned and executed, and some were executed prior to their conviction. #MeBeforeYou
111	Me Before You	Before this time, Augustus, Tiberius, and some others used to be carried sometimes in litters such as women even at the present day affect. #MeBeforeYou
112	Me Before You	Before the senate he read such a considerable document, this, too, written by Seneca, that it was voted the statements should
112	Me Before You	be inscribed on a silver tablet and should be read every time the new consuls took up the duties of their office. #MeBeforeYou
113	Me Before You	Before long many others who followed the socalled Stoic system made themselves prominent, among whom was Demetrius the cynic. #MeBeforeYou
114	Me Before You	Before going to see his father he used to greet the most worthy men in the house near the Tiber where he lived, and in the
114	Me Before You	very apartment where he slept; and all this time, instead of wearing the attire allowed by his rank, he went dressed as a private citizen. #MeBeforeYou
115	Me Before You	Before he was made Caesar he had a dream in which he seemed to have shoulders and hands of ivory and to use them in all respects as he did his real limbs. #MeBeforeYou
116	Me Before You	Before entering the theatre he would put on a cleeved tonic of silk, white interwoven with gold, and we greeted him standing there in this attire. #MeBeforeYou
117	Me Before You	Before reaching Rome he summoned those remaining Pretorians, surrounded them in a plain while they still did not know what was
117	Me Before You	going to happen to them, and having reproached them long and bitterly for their transgression against their emperor he relieved them of their arms, took away their horses, and expelled them from Rome. #MeBeforeYou
118	Me Before You	Before Severus had had time to recover breath from his conflicts with the barbarians he found a civil war on his hands with Albinus, his Caesar. #MeBeforeYou
119	Me Before You	Before he closed his eyes he is reputed to have spoken these words to his children I shall use the exact phraseology without embellishment "Be harmonious, enrich the soldiers, scorn everybody else. #MeBeforeYou
120	Me Before You	On entering the fortifications, he exclaimed "Rejoice, fellowsoldiers, for now I have a chance to benefit you!" Before they
120	Me Before You	heard the whole story he had stopped their mouths with so many and so great promises that they could neither think nor speak anything decent. #MeBeforeYou
121	Me Before You	Before leaving Nicomedea the emperor held a gladiatorial contest there in honor of his birthday, for not even on that day did he refrain from slaughter. #MeBeforeYou
122	Me Before You	You must choose not what would satisfy Pompey, but what is of benefit to the state. #MeBeforeYou
123	Me Before You	You recall, further, how many reverses of a serious nature we endured in the war against Sertorius through lack of a general,
123	Me Before You	and that we found no one else among young or old adapted to it except the man before you; and that we sent him to the field in
123	Me Before You	place of both consuls, although at that time he had not yet reached a mature age and was not a member of the senate. #MeBeforeYou
124	Me Before You	You must be a slave to whatever is for her advantage, not shrinking from any hardship or danger to secure it. #MeBeforeYou
125	Me Before You	You doubtless are not ignorant that this latter limitation, too, our fathers guarded scrupulously, and no instance would be
125	Me Before You	found of a dictator chosen for any other country, except one sent to Sicily, and that without accomplishing anything. #MeBeforeYou
126	Me Before You	You must, if you shall in the least do what is needful, make war on them everywhere at once, so that they may neither unite, nor by finding a refuge among those not attacked, become hard to capture. #MeBeforeYou
127	Me Before You	You will not deem it unworthy, I trust, to receive some encouragement from another. #MeBeforeYou
128	Me Before You	You know at any rate that many live abroad the longest possible time, some unwillingly and others willingly; and some even
128	Me Before You	spend their whole life traveling about, just as if they were expelled from every place and yet they do not regard themselves as being injured in doing so. #MeBeforeYou
129	Me Before You	You advised and performed all that was proper for the citizens, not as individual but as consul, not meddling officiously in a private capacity but obeying the decree of the senate, not as a party measure but for the best ends. #MeBeforeYou
130	Me Before You	You will get no help against those hostilely disposed from the men who seem to love you; this you probably know by experience. #MeBeforeYou
131	Me Before You	You will recognize that I speak the truth if you do not estimate advantage with reference to the pleasure of the moment but
131	Me Before You	instead with reference to what is continually beneficial, and if you will avoid thinking that gratifying your desires is more noble than restraining them. #MeBeforeYou
132	Me Before You	You are both Romans, and they like you both have been and will be soldiers. #MeBeforeYou
133	Me Before You	You must also look ahead very carefully to the justice of your cause. #MeBeforeYou
134	Me Before You	You take a grain of incense and after making whatever prayer you wish throw it carrying the prayer. #MeBeforeYou
135	Me Before You	You are not at the moment sitting in judgment over any one, that you should need to search out what is just with absolute
135	Me Before You	accuracy, but you are deliberating about the situation that has arisen and how the excitement may in the safest way be allayed. #MeBeforeYou
136	Me Before You	You yourselves have profited most by Caesar's virtues and you demand his praises not halfheartedly, as if he were no relation, but out of deep affection as one of your very own. #MeBeforeYou
137	Me Before You	You did not dispute at all about titles, but applied them all to him as being still less than his merits, with the purpose
137	Me Before You	that whatever was lacking in each one of them of what was considered a proper expression of the most complete honor and authority might be made up by what the rest contributed. #MeBeforeYou
138	Me Before You	Where, Caesar, was your humaneness, where your inviolability, where the laws? You enacted many laws to prevent any one's being
138	Me Before You	killed by personal foes, yet see how mercilessly your friends killed you, and now slain you lie before us in that Forum
138	Me Before You	through which you often crowned led triumphal marches, wounded unto death you have been cast down upon that rostra from which you often addressed the people. #MeBeforeYou
139	Me Before You	You ratified all the grants made to various persons and all the laws laid down by Caesar, not because they were all excellent
139	Me Before You	far from it! , but because our mutual and unsuspecting association, quite free from any disguise, was not furthered by changing any one of those enactments. #MeBeforeYou
140	Me Before You	You then assigned to him, in company with the foremost men, the task of making these excerpts; but he, paying no attention to
140	Me Before You	his colleagues, carried out everything alone according to his wishes, in regard to the laws, the exiles, and other points which I enumerated a few moments since. #MeBeforeYou
141	Me Before You	Has he then shown himself such a character only in these affairs, while managing the rest rightly? In what instance? On what
141	Me Before You	motive? He was ordered to search for and declare the public money left behind by Caesar, and did he not seize it, paying some
141	Me Before You	of it to his creditors and spending some on high living so that he no longer has even any of this left? You hated the name of
141	Me Before You	dictator on account of Caesar's sovereignty and rejected it entirely from the constitution but is it not true that Antony,
141	Me Before You	though he has avoided adopting it as if the name in itself could do any harm, has exhibited the behavior belonging to it and
141	Me Before You	the greed for gain, under the title of consulship? You assigned to him the duty of promoting harmony, and has he not on his
141	Me Before You	own responsibility begun this great war, neither necessary nor sanctioned, against Caesar and Decimus, whom you approve?
141	Me Before You	Innumerable cases might be mentioned, if one wished to go into details, in which you entrusted business to him to manage as
141	Me Before You	consul, and he has not conducted a single bit of it as the circumstances demanded, but has done quite the opposite, using against you the authority that you imparted. #MeBeforeYou
142	Me Before You	You remember the nature of his language when he approached the rostra, and the style of his behavior when he had ascended it. #MeBeforeYou
143	Me Before You	You must reflect that the majority of enterprises owe their success rather to an opportune occasion than to their strength;
143	Me Before You	and you should by all means feel perfectly sure that I would never give up peace if it were really peace, in the midst of
143	Me Before You	which I have most influence and have acquired wealth and reputation, nor have urged you to make war, did I not think it to your advantage. #MeBeforeYou
144	Me Before You	But who should not admire your system of instruction? And what is it? You are ever jealous of your superiors, you always toady
144	Me Before You	to the prominent man, you slander him who has attained distinction, you inform against the powerful and you hate equally all the excellent, and you pretend love only for those through whom you may do some mischief. #MeBeforeYou
145	Me Before You	Why, then, if you saw us being wronged by him at the start, as you assert, did you never attack or accuse him at the time,
145	Me Before You	instead of telling us now all the transgressions he committed when tribune, all his irregularities when master of horse, all
145	Me Before You	his villanies when consul? You might at once, at the time, in each specific instance, have inflicted the appropriate penalty
145	Me Before You	upon him, if you had wanted to show yourself in very deed a patriot, and we could have imposed the punishment in security and safety during the course of the offences themselves. #MeBeforeYou
146	Me Before You	You will find, if you scrutinize the matter minutely, that its tenure proved of great value to the city. #MeBeforeYou
147	Me Before You	You censured Pompey because he conducted the trial of Milo contrary to legalized precedent yet you afforded Lentulus no
147	Me Before You	privilege great or small that is enjoined in these cases, but without a speech or trial you cast him into prison, a man
147	Me Before You	respectable, aged, whose ancestors had given many great pledges that he would be friendly to his country, and who by reason of his age and his character had no power to do anything revolutionary. #MeBeforeYou
148	Me Before You	You did not lack opportunity to speak; indeed you roared out considerable that was beside the purpose. #MeBeforeYou
